[2026-06-01 14:47:46] [admin] [Search] [Target: 第 25 代 | 執行關鍵字檢索 (模式: cache)] [127.0.0.1]
[2026-06-01 14:48:00] [admin] [Search] [Target: 第 25 代 | 執行關鍵字檢索 (模式: cache)] [127.0.0.1]
[2026-06-01 14:48:34] [admin] [View] [Target: MyLibrary | 瀏覽我的書房] [127.0.0.1]
[2026-06-01 14:48:39] [admin] [Search] [Target: 第 25 代 | 執行關鍵字檢索 (模式: cache)] [127.0.0.1]
[2026-06-01 14:48:43] [admin] [View] [Target: MyLibrary | 瀏覽我的書房] [127.0.0.1]
[2026-06-01 14:48:49] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-01 14:48:56] [admin] [View] [Target: MyLibrary | 瀏覽我的書房] [127.0.0.1]
[2026-06-01 14:49:03] [admin] [View] [Target: MyLibrary | 瀏覽我的書房] [127.0.0.1]
[2026-06-01 14:49:21] [admin] [Admin_Config] [Target: fields_config.json | 管理員動態抽換了系統顯示的白名單查詢欄位] [127.0.0.1]
[2026-06-01 14:49:23] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-01 14:49:26] [admin] [Search] [Target: 第25代 | 執行關鍵字檢索 (模式: cache)] [127.0.0.1]
[2026-06-01 14:49:31] [admin] [Search] [Target: 第25代 | 執行關鍵字檢索 (模式: cache)] [127.0.0.1]
[2026-06-01 14:50:39] [admin] [Logout] [Target: 系統管理員 | 使用者登出] [127.0.0.1]
[2026-06-01 14:50:44] [admin] [Login] [Target: admin | 登入成功] [127.0.0.1]
[2026-06-01 14:50:44] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-01 14:54:55] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-01 14:55:44] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-01 15:16:24] [admin] [Search] [Target: N/A | 瀏覽全系統清單 (模式: cache)] [127.0.0.1]
[2026-06-01 15:16:26] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-01 15:16:28] [admin] [Logout] [Target: 系統管理員 | 使用者登出] [127.0.0.1]
